Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,
Black-Skin-Woman-High-Heels-Bot-00126200,Black Skin Woman High Heels Bot 00126200,Made in Turkey.,RÝCCON,,Bot & Bootie,Bot & Bootie,TRUE,Body size,36,,,,,36,200,shopify,7396,deny,manual,88.44,91.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty516/product/media/images/20220825/10/165313572/551930581/1/1_org_zoom.jpg,1,,FALSE,Black Skin Woman High Heels Bot 00126200,,,,,,,,used,FALSE,,,,,,,g,,,,,active,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,37,,,,,37,200,shopify,7396,deny,manual,88.44,91.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty516/product/media/images/20220825/10/165313572/551930581/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,38,,,,,38,200,shopify,7396,deny,manual,88.44,91.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty516/product/media/images/20220825/10/165313572/551930581/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,39,,,,,39,200,shopify,7396,deny,manual,88.44,91.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty516/product/media/images/20220825/10/165313572/551930581/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,40,,,,,40,200,shopify,7396,deny,manual,88.44,91.13,TRUE,TRUE,,https://cdn.dsmcdn.com/ty516/product/media/images/20220825/10/165313572/551930581/1/1_org_zoom.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty518/product/media/images/20220825/10/165313572/551930581/2/2_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty517/product/media/images/20220825/10/165313572/551930581/3/3_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty517/product/media/images/20220825/10/165313572/551930581/4/4_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty518/product/media/images/20220825/10/165313572/551930581/5/5_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,
Black-Skin-Woman-High-Heels-Bot-00126200,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty516/product/media/images/20220825/10/165313572/551930581/6/6_org_zoom.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,
